pmid	title	abstract	label
21269779	Hydrocortisone suppression of the fear-potentiated startle response and posttraumatic stress disorder.	"This study examined the effects of oral administration of 20mg hydrocortisone on baseline and fear-potentiated startle in 63 male veterans with or without PTSD. The procedure was based on a two-session, within-subject design in which acoustic startle eyeblink responses were recorded during intervals of threat or no threat of electric shock. Results showed that the magnitude of the difference between startle responses recorded during anticipation of imminent shock compared to ""safe"" periods was reduced after hydrocortisone administration relative to placebo. This effect did not vary as a function of PTSD group nor were there were any significant group differences in other indices startle amplitude. Findings suggest that the acute elevations in systemic cortisol produced by hydrocortisone administration may have fear-inhibiting effects. This finding may have implications for understanding the role of hypothalamic-pituitary-adrenal (HPA)-axis function in vulnerability and resilience to traumatic stress."	0
23073641	Onset and offset of aversive events establish distinct memories requiring fear and reward networks.	"Two things are worth remembering about an aversive event: What made it happen? What made it cease? If a stimulus precedes an aversive event, it becomes a signal for threat and will later elicit behavior indicating conditioned fear. However, if the stimulus is presented upon cessation of the aversive event, it elicits behavior indicating conditioned ""relief."" What are the neuronal bases for such learning? Using functional magnetic resonance imaging (fMRI) in humans we found that a fear-conditioned stimulus activates amygdala but not striatum, whereas a relief-conditioned stimulus activates striatum but not amygdala. Correspondingly, acute inactivation of amygdala or of ventral striatum in rats respectively abolished only conditioned fear or only conditioned relief. Thus, the behaviorally opponent memories supported by onset and offset of aversive events engage and require fear and reward networks, respectively. This may explain attraction to stimuli associated with the cessation of trauma or of panic attacks."	1
22491355	Acute tryptophan depletion increases translational indices of anxiety but not fear: serotonergic modulation of the bed nucleus of the stria terminalis?	Serotonin is strongly implicated in the mammalian stress response, but surprisingly little is known about its mode of action. Recent data suggest that serotonin can inhibit aversive responding in humans, but this remains underspecified. In particular, data in rodents suggest that global serotonin depletion may specifically increase long-duration bed nucleus of the stria terminalis (BNST)-mediated aversive responses (ie, anxiety), but not short-duration BNST-independent responses (ie, fear). Here, we extend these findings to humans. In a balanced, placebo-controlled crossover design, healthy volunteers (n=20) received a controlled diet with and without the serotonin precursor tryptophan (acute tryptophan depletion; ATD). Aversive states were indexed by translational acoustic startle measures. Fear and anxiety were operationally defined as the increase in startle reactivity during short- and long-duration threat periods evoked by predictable shock (fear-potentiated startle) and by the context in which the shocks were administered (anxiety-potentiated startle), respectively. ATD significantly increased long-duration anxiety-potentiated startle but had no effect on short-duration fear-potentiated startle. These results suggest that serotonin depletion in humans selectively increases anxiety but not fear. Current translational frameworks support the proposition that ATD thus disinhibits dorsal raphe-originating serotonergic control of corticotropin-releasing hormone-mediated excitation of the BNST. This generates a candidate neuropharmacological mechanism by which depleted serotonin may increase response to sustained threats, alongside clear implications for our understanding of the manifestation and treatment of mood and anxiety disorders.	0
30265859	Trauma exposure acutely alters neural function during Pavlovian fear conditioning.	Posttraumatic stress disorder (PTSD) is associated with dysfunction of the neural circuitry that supports fear learning and memory processes. However, much of what is known about neural dysfunction in PTSD is based on research in chronic PTSD populations. Less is known about neural function that supports fear learning acutely following trauma exposure. Determining the acute effects of trauma exposure on brain function would provide new insight into the neural processes that mediate the cognitive-affective dysfunction associated with PTSD. Therefore, the present study investigated neural activity that supports fear learning and memory processes in recently Trauma-Exposed (TE) and Non-Trauma-Exposed (NTE) participants. Participants completed a Pavlovian fear conditioning procedure during functional magnetic resonance imaging (fMRI). During fMRI, participants' threat expectancy was continuously monitored. NTE participants showed greater threat expectancy during warning than safety cues, while no difference was observed in the TE group. This finding suggests TE participants overgeneralized the fear association to the safety cue. Further, only the TE group showed a negative relationship between fMRI signal responses within dorsomedial prefrontal cortex (PFC) and threat expectancy during safety cues. These results suggest the dorsomedial PFC mediates overgeneralization of learned fear as an acute result of trauma exposure. Finally, neural activity within the PFC and inferior parietal lobule showed a negative relationship with PTSD symptom severity assessed three months posttrauma. Thus, neural activity measured acutely following trauma exposure predicted future PTSD symptom severity. The present findings elucidate the acute effects of trauma exposure on cognitive-affective function and provide new insight into the neural mechanisms of PTSD.	1

























